,2020.08-2021.05,2021.08-2022.05
count,375.0,375.0
mean,1547.2728000000002,1619.44
std,2823.231597876357,2917.162132020087
min,0.4,0.5
25%,209.65,213.14999999999998
50%,539.3,574.6
75%,1402.0500000000002,1551.0
max,18587.6,19638.2
