,2020.08-2021.05,2021.08-2022.05
count,6.0,6.0
mean,4493.483333333333,4823.616666666667
std,3028.169278238366,3239.9397213014113
min,798.7,632.5
25%,3228.5,3492.2000000000003
50%,3548.5,3927.05
75%,5712.45,6378.725
max,9509.6,9911.9
