,2021.01-2021.05,2022.01-2022.05
count,394.0,394.0
mean,1503.4030456852793,1571.8370558375636
std,2791.036804042078,2878.992614447494
min,0.6,0.8
25%,186.34999999999997,192.3
50%,517.5,552.7
75%,1366.9500000000003,1430.8000000000002
max,18730.4,19620.2
