,2019.08-2020.07,2020.08-2021.07
count,9.0,9.0
mean,8117.5462962962965,7098.944444444445
std,8138.135019077441,7324.912519386608
min,1211.0833333333333,1180.5833333333333
25%,1939.1666666666667,1892.8333333333333
50%,4895.583333333333,4558.5
75%,8859.75,7368.083333333333
max,25408.666666666668,23772.0
