,2020.01-2020.12,2021.01-2021.12
count,375.0,375.0
mean,1664.05,1648.7206666666666
std,3269.172854283011,3125.476213066347
min,0.6666666666666666,0.3333333333333333
25%,215.75,212.83333333333334
50%,557.8333333333334,569.8333333333334
75%,1437.4166666666665,1499.375
max,29270.583333333332,25769.75
