,2020.01-2020.12,2021.01-2021.12
count,11.0,11.0
mean,7859.863636363635,7848.871212121213
std,6102.468270807487,6008.668978993282
min,2103.0,2026.0
25%,2913.3333333333335,2795.375
50%,7444.416666666667,7105.583333333333
75%,9681.333333333332,10768.458333333332
max,19279.083333333332,19094.666666666668
